instance,rule_preelon,GPT category preelon,rule_postelon2023,GPT category postelon2023,rule_postelon2024,GPT category postelon2024
bae.st,[nan],{'Not Applicable': 1},[nan],{'Not Applicable': 1},[nan],{'A: Not Applicable': 1}
bequeme-couch.de,"['Don’t post anything illegal.', 'No harassment, stalking, mobbing, deadnaming, misgendering, or contacting users who have made it clear they do not wish to be contacted.', 'No right or alt-right bullshit, Nazi content, conspiracy narratives.', 'No spam.', ""Don’t post anything that you wouldn’t say on Max's real couch.""]","{'Illegal Content': 1, 'Harassment': 1, 'Hate Speech, Mis/Disinformation/Conspiracy': 1, 'Spam': 1, 'A: Not Applicable': 1}","['Don’t post anything illegal.', 'No harassment, stalking, mobbing, deadnaming, misgendering, or contacting users who have made it clear they do not wish to be contacted.', 'No right or alt-right bullshit, Nazi content, conspiracy narratives.', 'No spam.', ""Don’t post anything that you wouldn’t say on Max's real couch.""]","{'Illegal Content': 1, 'Harassment': 1, 'Hate Speech, Mis/Disinformation/Conspiracy': 1, 'Spam': 1, 'A: Not Applicable': 1}","['Don’t post anything illegal.', 'No harassment, stalking, mobbing, deadnaming, misgendering, or contacting users who have made it clear they do not wish to be contacted.', 'No right or alt-right bullshit, Nazi content, conspiracy narratives.', 'No spam.', ""Don’t post anything that you wouldn’t say on Max's real couch.""]","{'Illegal Content': 1, 'Harassment, Doxxing/Personal Info': 1, 'Hate Speech, Mis/Disinformation/Conspiracy': 1, 'Spam': 1, 'Not Applicable': 1}"
buttsex.restaurant,"[""do whatever you want but don't fuck up""]",{'Not Applicable': 1},"[""do whatever you want but don't fuck up""]",{'Not Applicable': 1},"[""do whatever you want but don't fuck up""]",{'A: Not Applicable': 1}
c.im,"['Respect the laws of Germany and the Isle of Man, including those related to hate speech and defamation.', 'Threatening, abusive, intolerant or illegal behavior may lead to moderation and/or further measures. We have a zero tolerance approach to racism, sexism, homophobia and transphobia. Moderation decisions are final.', 'The Content Warning flag should be used for NSFW content, and NSFW media should be marked as sensitive.', 'Account registrations are monitored and accounts considered spam (including commercial advertising, political campaigning/propaganda, duplicate accounts or impersonating legal entities) will be moderated or removed.', 'Do not harass or bully other users.', 'Do not share illegal or copyrighted content.', 'Do not spam or engage in any form of malicious activity.', 'Keep discussions civil and respectful, and refrain from using derogatory language or engaging in personal attacks.', 'Do not reveal personal information about other people without their consent.', 'Use appropriate tags and content warnings when posting potentially sensitive or triggering content.', 'If you see a violation of these rules, report it to the moderation team.', 'To use our service, you are at least 18 years old.']","{'Not Applicable': 2, 'Hate Speech, Illegal Content': 1, 'Hate Speech, Illegal Content, Harassment': 1, 'NSFW, Content Warnings': 1, 'Advertising & Commercialization, Spam, Impersonation': 1, 'Harassment': 1, 'Illegal Content, Copyright/Piracy': 1, 'Spam': 1, 'Harassment, Hate Speech': 1, 'Doxxing/Personal Info': 1, 'Content Warnings': 1}","['Respect the laws of Germany and the Isle of Man, including those related to hate speech and defamation.', 'Threatening, abusive, intolerant or illegal behavior may lead to moderation and/or further measures. We have a zero tolerance approach to racism, sexism, homophobia and transphobia. Moderation decisions are final.', 'The Content Warning flag should be used for NSFW content, and NSFW media should be marked as sensitive.', 'Account registrations are monitored and accounts considered spam (including commercial advertising, political campaigning/propaganda, duplicate accounts or impersonating legal entities) will be moderated or removed.', 'Do not harass or bully other users.', 'Do not share illegal or copyrighted content.', 'Do not spam or engage in any form of malicious activity.', 'Keep discussions civil and respectful, and refrain from using derogatory language or engaging in personal attacks.', 'Do not reveal personal information about other people without their consent.', 'Use appropriate tags and content warnings when posting potentially sensitive or triggering content.', 'If you see a violation of these rules, report it to the moderation team.', 'To use our service, you are at least 18 years old.']","{'Not Applicable': 2, 'Hate Speech, Illegal Content': 1, 'Hate Speech, Illegal Content, Harassment': 1, 'NSFW, Content Warnings': 1, 'Advertising & Commercialization, Spam, Impersonation': 1, 'Harassment': 1, 'Illegal Content, Copyright/Piracy': 1, 'Spam': 1, 'Harassment, Hate Speech': 1, 'Doxxing/Personal Info': 1, 'Content Warnings': 1}","['Respect the laws of the Netherlands and the Isle of Man, including those related to hate speech and defamation.', 'Threatening, abusive, intolerant or illegal behavior may lead to moderation and/or further measures. We have a zero tolerance approach to racism, sexism, homophobia and transphobia. Moderation decisions are final.', 'The Content Warning flag should be used for NSFW content, and NSFW media should be marked as sensitive.', 'Account registrations are monitored and accounts considered spam (including commercial advertising, political campaigning/propaganda, duplicate accounts or impersonating legal entities) will be moderated or removed.', 'Do not harass or bully other users.', 'Do not share illegal or copyrighted content.', 'Do not spam or engage in any form of malicious activity.', 'Keep discussions civil and respectful, and refrain from using derogatory language or engaging in personal attacks.', 'Do not reveal personal information about other people without their consent.', 'Use appropriate tags and content warnings when posting potentially sensitive or triggering content.', 'If you see a violation of these rules, report it to the moderation team.', 'To use our service, you are at least 18 years old.']","{'Not Applicable': 2, 'Hate Speech, Illegal Content': 1, 'Hate Speech, Illegal Content, Harassment': 1, 'A: NSFW, Content Warnings': 1, 'Advertising & Commercialization, Spam, Impersonation': 1, 'Harassment': 1, 'Illegal Content, Copyright/Piracy': 1, 'Spam': 1, 'Harassment, Hate Speech': 1, 'Doxxing/Personal Info': 1, 'Content Warnings': 1}"
corteximplant.com,"['We do not tolerate discriminatory behaviour and content promoting or advocating the oppression of members of marginalised groups.', 'We do not tolerate threatening behaviour, stalking, and doxxing.', 'We do not tolerate harassment, including brigading, dogpiling, or any other form of contact with a user who has stated that they do not wish to be contacted.', 'We do not tolerate mobbing, including name-calling, intentional misgendering or deadnaming.\r\nWe do not tolerate violent nationalist propaganda, Nazi symbolism or promoting the ideology of National Socialism.', 'We do not tolerate conspiracy narratives or other reactionary myths supporting or leading to the above-mentioned (and/or similar) behavior.', 'Actions intended to damage this instance or its performance may lead to immediate account suspension.', 'Content that is illegal in Germany will be deleted and may lead to immediate account suspension.', 'We do not tolerate spam, fraud, or theft in our community. This includes excessive cross-posts, links, and posts related to crypto/NFT projects and AI art (AI art can be posted under certain conditions: the post must be published as ""unlisted,"" labeled as AI Art, and should not be profit-oriented).', '⚠️ We kindly ask you to attentively read the information under ""Registration"" on our About Page in order to join our community. \r\n\r\n🔗 https://corteximplant.com/about']","{'Hate Speech': 1, 'Doxxing/Personal Info, Harassment': 1, 'Harassment, Dogpiling': 1, 'Hate Speech, Harassment, Incitement of Violence': 1, 'Mis/Disinformation/Conspiracy': 1, 'Harassment': 1, 'Illegal Content': 1, 'Spam, Reposting/Crossposting, Links & Outside Content, Advertising & Commercialization': 1, 'Links & Outside Content': 1}",[nan],{'A: Not Applicable': 1},"['We do not tolerate discriminatory behaviour and content promoting or advocating the oppression of members of marginalised groups.', 'We do not tolerate threatening behaviour, stalking, and doxxing.', 'We do not tolerate harassment, including brigading, dogpiling, or any other form of contact with a user who has stated that they do not wish to be contacted.', 'We do not tolerate mobbing, including name-calling, intentional misgendering or deadnaming.\r\nWe do not tolerate violent nationalist propaganda, Nazi symbolism or promoting the ideology of National Socialism.', 'We do not tolerate conspiracy narratives or other reactionary myths supporting or leading to the above-mentioned (and/or similar) behavior.', 'Actions intended to damage this instance or its performance may lead to immediate account suspension.', 'Content that is illegal in Germany will be deleted and may lead to immediate account suspension.', 'We do not tolerate spam, fraud, or theft in our community. This includes excessive cross-posts, links, and posts related to crypto/NFT projects and AI art (AI art can be posted under certain conditions: the post must be published as ""unlisted,"" labeled as AI Art, and should not be profit-oriented).', '⚠️ We kindly ask you to attentively read the information under ""Registration"" on our About Page in order to join our community. \r\n\r\n🔗 https://corteximplant.com/about']","{'Hate Speech': 1, 'Doxxing/Personal Info, Harassment': 1, 'Harassment, Dogpiling': 1, 'Hate Speech, Harassment, Incitement of Violence': 1, 'Mis/Disinformation/Conspiracy': 1, 'Harassment': 1, 'Illegal Content': 1, 'Spam, Reposting/Crossposting, Links & Outside Content': 1, 'Links & Outside Content': 1}"
cosocial.ca,"['Do not post or share any content that is illegal in Canada', 'Do not harass, dogpile, or dox users on this server or other servers', 'No racism, sexism, homophobia, transphobia, xenophobia, casteism, fatphobia, or other forms of bigotry', 'NSFW content and depictions of violence must be behind a content warning.', 'Do not share intentionally false or misleading information.', 'CoSocial.ca is a service for the members of the CoSocial Community Cooperative.', 'CoSocial is for Canadian residents.', 'CoSocial is for people 18 and over.', ""Business accounts are allowed, but don't spam or engage in excessive commercial posting."", 'Read and follow the full Code of Conduct and Acceptable Use Policy section of our Terms of Service, available at https://cosocial.ca/terms#coc']","{'Illegal Content': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Hate Speech': 1, 'A: NSFW, Content Warnings': 1, 'Mis/Disinformation/Conspiracy': 1, 'Not Applicable': 1, 'Off-topic/topic specific': 1, 'NSFW': 1, 'Advertising & Commercialization, Spam': 1, 'Links & Outside Content': 1}",[nan],{'A: Not Applicable': 1},[nan],{'Not Applicable': 1}
crazylab.online,"['Only sharing, discussion, gathering and communication are allowed.\r\n在這里 只有分享丶討論丶聚會丶交流。', 'Regardless of the choice of gender, gender identity and expression, age, sexual orientation, disability, appearance, body shape, race, religion or technology, we do not tolerate any form of cyber bullying and verbal attacks here.\r\n無論性別丶性別認同和表達方式丶年齡丶性取向丶殘疾丶外表丶身材丶種族丶宗教 或技術如何選擇, 在這裏我們不容忍任何形式的網絡欺凌及言語攻擊。', 'Any  pornographic related contents (including languages, images, videos, URLs ...etc) cannot be uploaded here.\r\n任何色情相關的內容（包括: 語言、圖片、視頻、網址等）均不能上載到這裏。', 'Copyrighted materials (including texts, files, photos, voices and videos ...etc) cannot be uploaded here.\r\n有版權的資料(包括文字、檔案、圖片、語音及視頻等)也不能上載到這裏。', 'Prohibit issuing all contents which violate Hong Kong laws. \r\n禁止發送違反香港法律的內容。', ""Don't toots political remarks and focus only for professional topics. \r\n本站不討論政治，重㸃討論專業的話題。"", 'No Advertisement & Spam but professional product reviews are accepted and welcome. \r\n謝絕廣告推送, 但可接受及歡迎專業的產品評論。', 'All the above items are applicable to any discussion places and locations here (including TAGS, private messages, public discussion forums and other URL links). \r\n以上所有項目適用於在這里的任何討論場所及位置(包括 TAGS，私信，公開討論區 和其它連結)。', 'In order to avoid affecting the freedom of other users and normal enjoyment of this system, users who violate the above rules will be removed from our system (without warning). \r\n為了避免影響其他用戶的自由及正常享用本系統, 違反以上那些規則的用户 會從我們的系統中被移除 (無需警告)。', 'This is one non-profit project with no SLA guarantee but we shall try our best with FailOver Clustering System to stay system online 99.9%. \r\n這是一個沒有 SLA 保證的非盈利項目, 但我們將盡我們最大努力使用 故障轉移集群系統 來保持系統在線 99.9%。', 'We do not accept any donation now and we shall consider to use stripe to handle all donations from donors if needed in future. \r\n我們現在不接受任何捐款, 如果將來有需要才考慮使用 Stripe 來處理捐贈者的捐贈。']","{'Not Applicable': 3, 'Off-topic/topic specific': 2, 'Hate Speech, Harassment': 1, 'NSFW, Images, Links & Outside Content': 1, 'Copyright/ Piracy': 1, 'Illegal Content': 1, 'Advertising & Commercialization, Spam': 1, 'A: Not Applicable': 1}",[nan],{'A: Not Applicable': 1},"['Only sharing, discussion, gathering and communication are allowed.\r\n在這里 只有分享丶討論丶聚會丶交流。', 'Regardless of the choice of gender, gender identity and expression, age, sexual orientation, disability, appearance, body shape, race, religion or technology, we do not tolerate any form of cyber bullying and verbal attacks here.\r\n無論性別丶性別認同和表達方式丶年齡丶性取向丶殘疾丶外表丶身材丶種族丶宗教 或技術如何選擇, 在這裏我們不容忍任何形式的網絡欺凌及言語攻擊。', 'Any  pornographic related contents (including languages, images, videos, URLs ...etc) cannot be uploaded here.\r\n任何色情相關的內容（包括: 語言、圖片、視頻、網址等）均不能上載到這裏。', 'Copyrighted materials (including texts, files, photos, voices and videos ...etc) cannot be uploaded here.\r\n有版權的資料(包括文字、檔案、圖片、語音及視頻等)也不能上載到這裏。', 'Prohibit issuing all contents which violate Hong Kong laws. \r\n禁止發送違反香港法律的內容。', ""Don't toots political remarks and focus only for professional topics. \r\n本站不討論政治，重㸃討論專業的話題。"", 'No Advertisement & Spam but professional product reviews are accepted and welcome. \r\n謝絕廣告推送, 但可接受及歡迎專業的產品評論。', 'All the above items are applicable to any discussion places and locations here (including TAGS, private messages, public discussion forums and other URL links). \r\n以上所有項目適用於在這里的任何討論場所及位置(包括 TAGS，私信，公開討論區 和其它連結)。', 'In order to avoid affecting the freedom of other users and normal enjoyment of this system, users who violate the above rules will be removed from our system (without warning). \r\n為了避免影響其他用戶的自由及正常享用本系統, 違反以上那些規則的用户 會從我們的系統中被移除 (無需警告)。', 'This is one non-profit project with no SLA guarantee but we shall try our best with FailOver Clustering System to stay system online 99.9%. \r\n這是一個沒有 SLA 保證的非盈利項目, 但我們將盡我們最大努力使用 故障轉移集群系統 來保持系統在線 99.9%。', 'We do not accept any donation now and we shall consider to use stripe to handle all donations from donors if needed in future. \r\n我們現在不接受任何捐款, 如果將來有需要才考慮使用 Stripe 來處理捐贈者的捐贈。']","{'Not Applicable': 3, 'A: Not Applicable': 2, 'Hate Speech, Harassment': 1, 'NSFW, Images, Links & Outside Content': 1, 'Copyright/ Piracy': 1, 'Illegal Content': 1, 'Off-topic/topic specific': 1, 'A: Advertising & Commercialization, Spam': 1}"
cupoftea.social,"['Be Respectful, Content that is racist, sexist, hateful, nasty or discriminatory is not welcome.', 'No harassment, dogpiling or doxxing of other users', 'No incitement of violence or promotion of violent ideologies', 'Sexually explicit ,violent  or sensitive media must be marked as such when posting', 'No spam , Porn or S**t Posting, Its just not for this server', 'No accounts setup purely to sell something / Fake Engagement (Such As Investments/NFT/Cryptos/Wealth stuff)']","{'Hate Speech, Harassment': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Incitement of Violence': 1, 'A: Images, Content Warnings': 1, 'A: NSFW, Spam': 1, 'Advertising & Commercialization, Spam': 1}","['Be Respectful, Content that is racist, sexist, hateful, nasty or discriminatory is not welcome.', 'No harassment, dogpiling or doxxing of other users', 'No incitement of violence or promotion of violent ideologies', 'Sexually explicit ,violent  or sensitive media must be marked as such when posting', 'No spam , Porn or S**t Posting, Its just not for this server', 'No accounts setup purely to sell something / Fake Engagement (Such As Investments/NFT/Cryptos/Wealth stuff)']","{'Hate Speech, Harassment': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Incitement of Violence': 1, 'A: Images, Content Warnings': 1, 'A: NSFW, Spam': 1, 'Advertising & Commercialization, Spam': 1}","['Be Respectful, Content that is racist, sexist, hateful, nasty or discriminatory is not welcome.', 'No harassment, dogpiling or doxxing of other users', 'No incitement of violence or promotion of violent ideologies', 'Sexually explicit ,violent  or sensitive media must be marked as such when posting', 'No spam , Porn or S**t Posting, Its just not for this server', 'No accounts setup purely to sell something / Fake Engagement (Such As Investments/NFT/Cryptos/Wealth stuff)']","{'Hate Speech, Harassment': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Incitement of Violence': 1, 'A: Images, Content Warnings': 1, 'A: NSFW, Spam': 1, 'Advertising & Commercialization, Spam': 1}"
dbg.social,"['No content illegal in the US', 'Treat everyone with respect', 'No intentionally misleading information']","{'Illegal Content': 1, 'Not Applicable': 1, 'Mis/Disinformation/Conspiracy': 1}","['No content illegal in the US', 'Treat everyone with respect', 'No intentionally misleading information']","{'Illegal Content': 1, 'Not Applicable': 1, 'Mis/Disinformation/Conspiracy': 1}",[nan],{'A: Not Applicable': 1}
definitely.social,"[""Don't be a dick."", 'No violence or threats of violence.', 'No white supremacy.', 'No racism.', 'No homophobia.', 'No transphobia.', 'No fascism.', 'No spam.']","{'Hate Speech': 5, 'Not Applicable': 1, 'Incitement of Violence': 1, 'Spam': 1}","[""Don't be a dick."", 'No violence or threats of violence.', 'No white supremacy.', 'No racism.', 'No homophobia.', 'No transphobia.', 'No fascism.', 'No spam.']","{'Hate Speech': 5, 'Not Applicable': 1, 'Incitement of Violence': 1, 'Spam': 1}",[nan],{'Not Applicable': 1}
digitalcourage.social,"['Alle Menschen, die sich für eine lebenswerte Welt engagieren wollen, sind bei uns willkommen. Wir möchten einen respektvollen Umgang miteinander pflegen und gute Gastgeber.innen sein.', 'Sollte uns das einmal nicht gelingen, gehe nicht einfach nur still weg, sondern sprich uns bitte an, damit sich alle Beteiligten bei uns wohlfühlen und einbringen können.']",{'Not Applicable': 2},"['Alle Menschen, die sich für eine lebenswerte Welt engagieren wollen, sind bei uns willkommen. Wir möchten einen respektvollen Umgang miteinander pflegen und gute Gastgeber.innen sein.', 'Sollte uns das einmal nicht gelingen, gehe nicht einfach nur still weg, sondern sprich uns bitte an, damit sich alle Beteiligten bei uns wohlfühlen und einbringen können.']",{'Not Applicable': 2},"['Alle Menschen, die sich für eine lebenswerte Welt engagieren wollen, sind bei uns willkommen. Wir möchten einen respektvollen Umgang miteinander pflegen und gute Gastgeber.innen sein.', 'Sollte uns das einmal nicht gelingen, gehe nicht einfach nur still weg, sondern sprich uns bitte an, damit sich alle Beteiligten bei uns wohlfühlen und einbringen können.']",{'Not Applicable': 2}
disobey.net,"[""Don't be a jerk. Hate speech, discrimination, and harassment of any kind are not tolerated here."", 'If you post adult content, please mark it as sensitive so that your followers can choose when to see it.', 'No spam.', 'Do not post anything which would violate the law in either your home jurisdiction, under United States law, or Washington State law.']","{'Hate Speech, Harassment': 1, 'A: NSFW, Content Warnings': 1, 'Spam': 1, 'Illegal Content': 1}","[""Don't be a jerk. Hate speech, discrimination, and harassment of any kind are not tolerated here."", 'If you post adult content, please mark it as sensitive so that your followers can choose when to see it.', 'No spam.', 'Do not post anything which would violate the law in either your home jurisdiction, under United States law, or Washington State law.']","{'Hate Speech, Harassment': 1, 'NSFW, Content Warnings': 1, 'Spam': 1, 'Illegal Content': 1}",[nan],{'Not Applicable': 1}
eightpoint.app,"['No alt-right ideologies or sympathizing for said ideologies.', 'No promotion of authoritarianism.', 'No šāru lemna/lashon hara\r\n\r\nAbout:\r\n https://cohost.org/shel/post/29079-lashon-hara-direct\r\n\r\nWhen It’s Permissible:\r\nhttps://torah.org/learning/halashon-chapter10/', 'Spoiler and warn NSFW images.', 'Just dont be an asshole.', 'Porn and smut are definitely allowed here. Go nuts. Post nuts.', '18 and older only please if you are found to be breaking this rule you will be removed', 'No bigoted behavior of any kind is tolerated.', 'No illegal content, yes this includes lolicon.']","{'Hate Speech': 2, 'NSFW': 2, 'Hate Speech, Mis/Disinformation/Conspiracy': 1, 'A: Links & Outside Content, Not Applicable': 1, 'A: NSFW, Content Warnings': 1, 'Not Applicable': 1, 'Illegal Content': 1}","['No alt-right ideologies or sympathizing for said ideologies.', 'No promotion of authoritarianism.', 'No šāru lemna/lashon hara\r\n\r\nAbout:\r\n https://cohost.org/shel/post/29079-lashon-hara-direct\r\n\r\nWhen It’s Permissible:\r\nhttps://torah.org/learning/halashon-chapter10/', 'Spoiler and warn NSFW images.', 'Just dont be an asshole.', 'Porn and smut are definitely allowed here. Go nuts. Post nuts.', '18 and older only please if you are found to be breaking this rule you will be removed', 'No bigoted behavior of any kind is tolerated.', 'No illegal content, yes this includes lolicon.']","{'Hate Speech': 2, 'NSFW': 2, 'Hate Speech, Mis/Disinformation/Conspiracy': 1, 'A: Links & Outside Content, Not Applicable': 1, 'A: NSFW, Content Warnings': 1, 'Not Applicable': 1, 'Illegal Content': 1}","['No alt-right ideologies or sympathizing for said ideologies.', 'No promotion of authoritarianism.', 'No šāru lemna/lashon hara\r\n\r\nAbout:\r\n https://cohost.org/shel/post/29079-lashon-hara-direct\r\n\r\nWhen It’s Permissible:\r\nhttps://torah.org/learning/halashon-chapter10/', 'Spoiler and warn NSFW images.', 'Just dont be an asshole.', 'Porn and smut are definitely allowed here. Go nuts. Post nuts.', '18 and older only please if you are found to be breaking this rule you will be removed', 'No bigoted behavior of any kind is tolerated.', 'No illegal content, yes this includes lolicon.']","{'Hate Speech': 2, 'NSFW': 2, 'Mis/Disinformation/Conspiracy': 1, 'A: Links & Outside Content, Not Applicable': 1, 'NSFW, Content Warnings': 1, 'Not Applicable': 1, 'Illegal Content': 1}"
en.osm.town,"['Follow the instance Code of Conduct: https://en.osm.town/about', 'Have fun']","{'Links & Outside Content': 1, 'Not Applicable': 1}",[nan],{'Not Applicable': 1},"['Follow the instance Code of Conduct: https://en.osm.town/about', 'Have fun']","{'Links & Outside Content': 1, 'Not Applicable': 1}"
famichiki.jp,"['We unconditionally do not tolerate oppressive behaviour against anyone, regardless of race, colour, sex, sexual orientation, gender, language, religion, or other status.', 'NSFW content is OK. But be sure to use Content Warnings when posting such content.', ""No excessive advertising. It's OK to promote what you're working on. Share cool stores you found and companies you work for or with. Do not shill MLM/NFT/Crypto."", ""Be mindful with the amount of media that you upload. This is a community ran Mastodon, not Flickr. There's no hard limits, please use common sense."", ""Bots are allowed, if they serve the community\r\n\r\nAllowed bots shouldn't flood the timeline with repetitive content. Lock your account or use https://botsin.space/ for high-frequency bots. Contact admins for help."", 'No sexually suggestive avatars and header graphics are permitted. This includes, but is not limited to, anime-type graphics, photos, illustrations, and others.']","{'Hate Speech': 1, 'A: NSFW, Content Warnings': 1, 'Advertising & Commercialization': 1, 'Images, Links & Outside Content': 1, 'Automated tools, Spam': 1, 'NSFW, Images': 1}","['We unconditionally do not tolerate oppressive behaviour against anyone, regardless of race, colour, sex, sexual orientation, gender, language, religion, or other status.', 'NSFW content is OK. But be sure to use Content Warnings when posting such content.', ""No excessive advertising. It's OK to promote what you're working on. Share cool stores you found and companies you work for or with. Do not shill MLM/NFT/Crypto."", ""Be mindful with the amount of media that you upload. This is a community ran Mastodon, not Flickr. There's no hard limits, please use common sense."", ""Bots are allowed, if they serve the community\r\n\r\nAllowed bots shouldn't flood the timeline with repetitive content. Lock your account or use https://botsin.space/ for high-frequency bots. Contact admins for help."", 'No sexually suggestive avatars and header graphics are permitted. This includes, but is not limited to, anime-type graphics, photos, illustrations, and others.']","{'Hate Speech': 1, 'A: NSFW, Content Warnings': 1, 'Advertising & Commercialization': 1, 'Images, Not Applicable': 1, 'Automated tools, Spam': 1, 'NSFW, Images': 1}",[nan],{'Not Applicable': 1}
fedibird.com,"['日本の法律と社会規範に従った行動を心がけてください', '不快や脅威に対してはブロック・ミュート・フィルターで距離をとってください', '投稿する際は、適切な公開範囲・CW・閲覧注意を使用してください']","{'Illegal Content': 1, 'A: Not Applicable': 1, 'A: Content Warnings': 1}","['日本の法律と社会規範に従った行動を心がけてください', '不快や脅威に対してはブロック・ミュート・フィルターで距離をとってください', '投稿する際は、適切な公開範囲・CW・閲覧注意を使用してください']","{'Illegal Content': 1, 'Not Applicable': 1, 'A: Content Warnings': 1}","['日本の法律と社会規範に従った行動を心がけてください', '不快や脅威に対してはブロック・ミュート・フィルターで距離をとってください', '投稿する際は、適切な公開範囲・CW・閲覧注意を使用してください']","{'Illegal Content': 1, 'A: Not Applicable': 1, 'A: Content Warnings': 1}"
fivem.social,"['Before posting, make sure that both your server and you are in compliance with the CFX, FiveM, and Rockstar TOS (Terms of Service).', 'Please ensure you use the correct handle when creating your FiveM.Social account. We are unable to manually change handles, so it is important that your handle reflects your desired username when setting up your account. Any changes after creation will require creating a new account.', 'Respect All Members', 'Appropriate Content Only', 'Account Security', 'Faster Account Approval']","{'Not Applicable': 4, 'Off-topic/topic specific': 1, 'A: Content Warnings, NSFW': 1}","['Before posting, make sure that both your server and you are in compliance with the CFX, FiveM, and Rockstar TOS (Terms of Service).', 'Please ensure you use the correct handle when creating your FiveM.Social account. We are unable to manually change handles, so it is important that your handle reflects your desired username when setting up your account. Any changes after creation will require creating a new account.', 'Respect All Members', 'Appropriate Content Only', 'Account Security', 'Faster Account Approval']","{'Not Applicable': 5, 'Illegal Content': 1}","['Before posting, make sure that both your server and you are in compliance with the CFX, FiveM, and Rockstar TOS (Terms of Service).', 'Please ensure you use the correct handle when creating your FiveM.Social account. We are unable to manually change handles, so it is important that your handle reflects your desired username when setting up your account. Any changes after creation will require creating a new account.', 'Respect All Members', 'Appropriate Content Only', 'Account Security', 'Faster Account Approval']","{'Not Applicable': 4, 'Off-topic/topic specific': 1, 'A: Content Warnings, NSFW': 1}"
