,formatted_rules,cleaned_rules,lang
1058,As this is my own single user instance. I won't be a dick... I hope,as this is my own single user instance i wont be a dick i hope,English
1059,Registrations are only for approved and invited group of Chinese food enthusiasts. You will be invited to join at the discretion of redcook.social adminstrator.,registrations are only for approved and invited group of chinese food enthusiasts you will be invited to join at the discretion of redcooksocial adminstrator,English
1060,"No threatening, abusive, or intolerant behaviour. We have a zero tolerance policy on racism, sexism, homophobia and transphobia. Your account will be suspended in such cases.",no threatening abusive or intolerant behaviour we have a zero tolerance policy on racism sexism homophobia and transphobia your account will be suspended in such cases,English
1061,"After registering, please edit your profile, add a short bio and post a short introduction to yourself. We may delete inactive accounts at our discretion.",after registering please edit your profile add a short bio and post a short introduction to yourself we may delete inactive accounts at our discretion,English
1062,"No illegal content, EU laws apply.",no illegal content eu laws apply,non-Englsih
1063,Respect the under-represented communities who built this place.,respect the underrepresented communities who built this place,English
1064,Do not cause trouble for the server in relation to federation with other servers.,do not cause trouble for the server in relation to federation with other servers,English
1065,Don't be a nuisance or an ass. Be awesome.,dont be a nuisance or an ass be awesome,English
1066,"This server is an instance of one (Peter Gassner). I vow to keep this server free of racism, sexism, homophobia, and transphobia.",this server is an instance of one peter gassner i vow to keep this server free of racism sexism homophobia and transphobia,English
1067,Don't be evil,dont be evil,non-Englsih
1068,"Discrimination, especially against minorities, is strongly discouraged. This includes, but is not limited to: Racism, xenophobia. Homophobia, transphobia, and other queerphobia. Classism. Gatekeeping the ""queer"" status (acephobia, etc.)",discrimination especially against minorities is strongly discouraged this includes but is not limited to racism xenophobia homophobia transphobia and other queerphobia classism gatekeeping the queer status acephobia etc,English
1069,"""Punching up"" does not fall under the guideline above, and is allowed.",punching up does not fall under the guideline above and is allowed,English
1070,"Usage of right-wing figures of speech are strongly discouraged. Please keep yourselves up-to-date on the dog whistles that are going around. Of course, this point will be evaluated on a case-by-case basis, as right-wing dog whistles are created to intentionally hijack everyday jokes and signs.",usage of rightwing figures of speech are strongly discouraged please keep yourselves uptodate on the dog whistles that are going around of course this point will be evaluated on a casebycase basis as rightwing dog whistles are created to intentionally hijack everyday jokes and signs,English
1071,"Advertising is strongly discouraged. Fund raisers, users of the site selling their own products or advertising their services are fine - we absolutely do not want corporations to advertise on here, however.",advertising is strongly discouraged fund raisers users of the site selling their own products or advertising their services are fine we absolutely do not want corporations to advertise on here however,English
1072,"Posting media without media descriptions, also known as alt text, is strongly discouraged. We encourage you to enable the popups that warn you if you are about to toot or boost content that does not follow this guideline.",posting media without media descriptions also known as alt text is strongly discouraged we encourage you to enable the popups that warn you if you are about to toot or boost content that does not follow this guideline,English
1073,"Don't spam. Of course, some jokes are mostly repetitive (common ""fedi bits""), but use common sense on where to draw the line. If the local timeline contains just your toots, you're taking it too far.",dont spam of course some jokes are mostly repetitive common fedi bits but use common sense on where to draw the line if the local timeline contains just your toots youre taking it too far,English
1074,"Do not interpret these guidelines in bad faith, not even for ""playing the devil's advocate"". We are trying to foster a progressive community - if you have an issue with the guidelines, feel free to discuss it.",do not interpret these guidelines in bad faith not even for playing the devils advocate we are trying to foster a progressive community if you have an issue with the guidelines feel free to discuss it,English
1075,"You must use content warnings for content. This includes obvious topics such as sexual content, assault, mental health issues, but also less obvious ones like food, selfies, pictures with eye contact to the viewer, etc. Even if you may not find topics triggering at all, this helps.",you must use content warnings for content this includes obvious topics such as sexual content assault mental health issues but also less obvious ones like food selfies pictures with eye contact to the viewer etc even if you may not find topics triggering at all this helps,English
1076,"Any content illegal in Germany will be removed. We want this site to stay online, and as such, we have to follow laws in addition to our own morals.",any content illegal in germany will be removed we want this site to stay online and as such we have to follow laws in addition to our own morals,English
1077,"Since this is a private server, the current owner/operator has the first and final say.",since this is a private server the current owneroperator has the first and final say,English
1078,"It's just me, please let me know if I am not nice, I'll try to do better, if I don't, please block me.",its just me please let me know if i am not nice ill try to do better if i dont please block me,English
1079,Keine Beleidigungen und/oder Anfeindungen,keine beleidigungen undoder anfeindungen,non-Englsih
1080,"Beiträge werden auf Deutsch, Englisch, Latein, Esperanto oder Klingonisch verfasst.",beiträge werden auf deutsch englisch latein esperanto oder klingonisch verfasst,non-Englsih
1081,合乎所属地区法律,合乎所属地区法律,non-Englsih
1082,内容的权益和责任皆属用户,内容的权益和责任皆属用户,non-Englsih
1083,"崇尚自由，不侵犯他人自由 
",崇尚自由不侵犯他人自由,non-Englsih
1084,相互尊重，以礼相待 ,相互尊重以礼相待,non-Englsih
1085,运营裁量暂由站长全权决定  ,运营裁量暂由站长全权决定,non-Englsih
1086,注册须回答站点规则中提到的问题，否则不予通过,注册须回答站点规则中提到的问题否则不予通过,non-Englsih
1087,just for fun,just for fun,non-Englsih
1088,係数体はℂとする．,係数体はℂとする,non-Englsih
1089,解の存在と一意性は保証されているとする．,解の存在と一意性は保証されているとする,non-Englsih
1090,可分なヒルベルト空間のみを考える．,可分なヒルベルト空間のみを考える,non-Englsih
1091,情報系は通常の条件（usual conditions）を満たしているとする．,情報系は通常の条件usual conditionsを満たしているとする,non-Englsih
1092,Don't be a dick...,dont be a dick,English
1093,Terminator > Terminator 2,terminator terminator 2,non-Englsih
1094,Alien > Aliens,alien aliens,non-Englsih
1095,Nazis and their ilk can fuck right off,nazis and their ilk can fuck right off,English
1096,"If this is your first Mastodon, you have to toot",if this is your first mastodon you have to toot,English
1097,Be kind and respectful.,be kind and respectful,English
1098,"NO sexuality explicit content, like porn.",no sexuality explicit content like porn,English
1099,"No porn, politics, ads, hate, or racism.",no porn politics ads hate or racism,English
1100,No preaching religions. Celebrating religious holidays is not considered preaching.,no preaching religions celebrating religious holidays is not considered preaching,English
1101,Accounts violating the above rules will be banned immediately and their corresponding IP addresses will be submitted to law enforcement agencies if necessary.,accounts violating the above rules will be banned immediately and their corresponding ip addresses will be submitted to law enforcement agencies if necessary,English
1102,"If you find anyone violating anything, please report it to the administrator.",if you find anyone violating anything please report it to the administrator,English
1103,"Videos are allowed, but not encouraged. This server is run by volunteers and we do not have a lot of storage available.",videos are allowed but not encouraged this server is run by volunteers and we do not have a lot of storage available,English
1104,Be a polite please.,be a polite please,English
1105,Try to do not publish any dangerous information.,try to do not publish any dangerous information,English
1106,"No hate speech, harassment, or discrimination of any kind. This includes, but is not limited to, racism, sexism, homophobia, transphobia, and ableism.",no hate speech harassment or discrimination of any kind this includes but is not limited to racism sexism homophobia transphobia and ableism,English
1107,"No sharing of illegal or copyrighted content. This includes, but is not limited to, pirated movies, music, and software.",no sharing of illegal or copyrighted content this includes but is not limited to pirated movies music and software,English
1108,"No spamming or unwanted contact. This includes, but is not limited to, sending unsolicited messages, posting repetitive content, and repeatedly following and unfollowing another user.",no spamming or unwanted contact this includes but is not limited to sending unsolicited messages posting repetitive content and repeatedly following and unfollowing another user,English
1109,"No posting of personal information without consent. This includes, but is not limited to, phone numbers, addresses, and email addresses.",no posting of personal information without consent this includes but is not limited to phone numbers addresses and email addresses,English
1110,"No sharing of graphic violence or adult content. This includes, but is not limited to, images or videos of violence, sexual content, or pornography.",no sharing of graphic violence or adult content this includes but is not limited to images or videos of violence sexual content or pornography,English
1111,"No sharing of graphic violence or adult content. This includes, but is not limited to, images or videos of violence, sexual content, or pornography.",no sharing of graphic violence or adult content this includes but is not limited to images or videos of violence sexual content or pornography,English
1112,"No impersonation of other users. This includes, but is not limited to, using someone else's name, avatar, or bio to impersonate them.",no impersonation of other users this includes but is not limited to using someone elses name avatar or bio to impersonate them,English
1113,"No sharing of misinformation. This includes, but is not limited to, sharing false information or conspiracy theories without providing credible sources. Looking at you Strangerville…",no sharing of misinformation this includes but is not limited to sharing false information or conspiracy theories without providing credible sources looking at you strangerville,English
1114,Respect other users’ privacy. This includes not sharing screenshots or quotes from private conversations without consent.,respect other users privacy this includes not sharing screenshots or quotes from private conversations without consent,English
1115,Any form of violence or threat of violence will not be tolerated.,any form of violence or threat of violence will not be tolerated,English
1116,Be nice,be nice,English
1117,"Keine Belästigung, Stalking, Dogpiling und/oder Doxxing von anderen.",keine belästigung stalking dogpiling undoder doxxing von anderen,non-Englsih
1118,"Rassistisches, sexistisches, homophobes, transphobes, fremdenfeindliches Verhalten oder Kastendenken haben auf unserem Server nichts zu suchen.",rassistisches sexistisches homophobes transphobes fremdenfeindliches verhalten oder kastendenken haben auf unserem server nichts zu suchen,non-Englsih
1119,"Nazis, Neonazis, Querdenker, Linksradikale, Russland- oder Chinatrolle werden konsequent geblockt.",nazis neonazis querdenker linksradikale russland oder chinatrolle werden konsequent geblockt,non-Englsih
1120,"Das Verbreiten von SPAM und Phishing über Trööts, Re-Trööts, Kommentare oder Persönliche Nachrichten führt zu einem nicht-reversiblen Block des betroffenen Accounts.",das verbreiten von spam und phishing über trööts retrööts kommentare oder persönliche nachrichten führt zu einem nichtreversiblen block des betroffenen accounts,non-Englsih
1121,"Die Verbreitung von Fake-News und vergleichbaren, falschen Information führt ebenfalls zu einem sofortigen Block.",die verbreitung von fakenews und vergleichbaren falschen information führt ebenfalls zu einem sofortigen block,non-Englsih
1122,"Die Verbreitung von strafrechtlich relevantem Material - insbesondere, jedoch nicht beschränkt auf Kinderpornografie - führt zu einem sofortigen Block sowie zur Weitergabe der Benutzerdaten des betroffenen Accounts an die zuständigen Strafverfolgungsbehörden.",die verbreitung von strafrechtlich relevantem material insbesondere jedoch nicht beschränkt auf kinderpornografie führt zu einem sofortigen block sowie zur weitergabe der benutzerdaten des betroffenen accounts an die zuständigen strafverfolgungsbehörden,non-Englsih
1123,No pornographic content,no pornographic content,non-Englsih
1124,"No copyrighted materials, personally identifiable or protected information",no copyrighted materials personally identifiable or protected information,English
1125,Don't be a dick,dont be a dick,English
1126,"Respectez les autres utilisateurs : pas de harcèlement, de discrimination, de racisme, de sexisme, d'homophobie, de transphobie ou d'attaques personnelles.",respectez les autres utilisateurs pas de harcèlement de discrimination de racisme de sexisme dhomophobie de transphobie ou dattaques personnelles,non-Englsih
1127,"Pas de contenu illégal : ne partagez pas de contenus piratés, de logiciels malveillants, de pornographie enfantine, ou tout autre contenu illégal.",pas de contenu illégal ne partagez pas de contenus piratés de logiciels malveillants de pornographie enfantine ou tout autre contenu illégal,non-Englsih
1128,Soyez respectueux de la vie privée : ne partagez pas de données personnelles ou confidentielles sans le consentement de la personne concernée.,soyez respectueux de la vie privée ne partagez pas de données personnelles ou confidentielles sans le consentement de la personne concernée,non-Englsih
1129,"Pas de spam ou de publicité : ne publiez pas de publicités ou de liens de parrainage, et ne spammez pas les autres utilisateurs.",pas de spam ou de publicité ne publiez pas de publicités ou de liens de parrainage et ne spammez pas les autres utilisateurs,non-Englsih
1130,"Utilisez les hashtags de manière appropriée : utilisez les hashtags pertinents pour rendre votre contenu facilement trouvable, mais n'utilisez pas de hashtags inappropriés ou trompeurs.",utilisez les hashtags de manière appropriée utilisez les hashtags pertinents pour rendre votre contenu facilement trouvable mais nutilisez pas de hashtags inappropriés ou trompeurs,non-Englsih
1131,"Respectez les règles de la communauté : respectez les règles de la communauté Mastodon en général, et suivez les consignes des modérateurs de l'instance.",respectez les règles de la communauté respectez les règles de la communauté mastodon en général et suivez les consignes des modérateurs de linstance,non-Englsih
1132,Pas de trolls : ne cherchez pas à provoquer ou à perturber la communauté.,pas de trolls ne cherchez pas à provoquer ou à perturber la communauté,non-Englsih
1133,"Pas de contenus violents : ne partagez pas de contenus violents, choquants, ou gore.",pas de contenus violents ne partagez pas de contenus violents choquants ou gore,non-Englsih
1134,Soyez poli : utilisez un langage approprié et évitez les insultes ou les propos vulgaires.,soyez poli utilisez un langage approprié et évitez les insultes ou les propos vulgaires,non-Englsih
1135,"Signalez les abus : si vous voyez un comportement inapproprié ou si vous êtes victime d'abus, signalez-le immédiatement aux modérateurs de l'instance.",signalez les abus si vous voyez un comportement inapproprié ou si vous êtes victime dabus signalezle immédiatement aux modérateurs de linstance,non-Englsih
1136,"When posting sexually explicit or violent media, it is mandatory to mark it as sensitive.",when posting sexually explicit or violent media it is mandatory to mark it as sensitive,English
1137,Spam or advertising is strictly prohibited.,spam or advertising is strictly prohibited,English
1138,Incitement of violence or promotion of violent ideologies is strictly forbidden.,incitement of violence or promotion of violent ideologies is strictly forbidden,English
1139,"Harassment, dogpiling, or doxxing of other users is not allowed.",harassment dogpiling or doxxing of other users is not allowed,English
1140,Posting illegal content is strictly prohibited.,posting illegal content is strictly prohibited,English
1141,"Please be aware that privacy is not guaranteed on this server or anywhere on Mastodon. Assume that everything you post, including direct messages (DMs), is publicly visible.",please be aware that privacy is not guaranteed on this server or anywhere on mastodon assume that everything you post including direct messages dms is publicly visible,English
1142,"Sharing fake news, disinformation, or misinformation is not permitted.",sharing fake news disinformation or misinformation is not permitted,English
1143,"This server adheres to the legal requirements set forth by Dutch legislation, ensuring full compliance with applicable local laws and regulations.",this server adheres to the legal requirements set forth by dutch legislation ensuring full compliance with applicable local laws and regulations,English
1144,Behave yourself.,behave yourself,English
1145,Refer to rule number 1.,refer to rule number 1,English
1146,Don't be a jerk.,dont be a jerk,non-Englsih
1147,"Don't be abusive, rude, vulgar, offensive, etc.",dont be abusive rude vulgar offensive etc,non-Englsih
1148,Posting phishing links results in a permanent ban.,posting phishing links results in a permanent ban,English
1149,Do not ask for or link to pirated/illegal content.,do not ask for or link to piratedillegal content,English
1150,Don't share referral links as posts/comments.,dont share referral links as postscomments,English
1151,This is a private server,this is a private server,English
1152,"Make sure you follow your own rules, @cfultz",make sure you follow your own rules cfultz,English
1153,No rasism!,no rasism,non-Englsih
1154,No spam.,no spam,non-Englsih
1155,No advertising.,no advertising,non-Englsih
1156,No bigotry,no bigotry,non-Englsih
1157,Comply to German law,comply to german law,English
1158,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
1159,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
1160,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
1161,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English
1162,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English
1163,Seid freundlich zu einander,seid freundlich zu einander,non-Englsih
1164,Keine in Deutschland illegalen Inhalte posten/weiterleiten/verbreiten/was-auch-immer ,keine in deutschland illegalen inhalte postenweiterleitenverbreitenwasauchimmer,non-Englsih
1165,"Da diese Mastodon Instanz dem privaten Gebrauch dient und eine freie Registrierung nicht möglich ist, sehe ich mich momentan nicht veranlaßt dediziertere Regeln festzulegen",da diese mastodon instanz dem privaten gebrauch dient und eine freie registrierung nicht möglich ist sehe ich mich momentan nicht veranlaßt dediziertere regeln festzulegen,non-Englsih
1166,Fight stagnation.,fight stagnation,English
1167,Do not go gentle into that good night.,do not go gentle into that good night,English
1168,"Tun Sie nichts Illegales, es sei denn, es ist moralisch vertretbar. Das bedeutet, dass es in Ordnung ist, zivilen Ungehorsam und ähnliche rebellische Aktionen für eine gute Sache im Einklang mit der strengen Wissenschaft zu fördern.",tun sie nichts illegales es sei denn es ist moralisch vertretbar das bedeutet dass es in ordnung ist zivilen ungehorsam und ähnliche rebellische aktionen für eine gute sache im einklang mit der strengen wissenschaft zu fördern,non-Englsih
1169,"Tun Sie nichts Unmoralisches, das Hassreden, Behindertenfeindlichkeit, Antisemitismus, Homosexuellenfeindlichkeit, Islamophobie, Rassismus, Sexismus, Transphobie … beinhaltet.",tun sie nichts unmoralisches das hassreden behindertenfeindlichkeit antisemitismus homosexuellenfeindlichkeit islamophobie rassismus sexismus transphobie beinhaltet,non-Englsih
1170,"Nicht spammen, trollen oder belästigen",nicht spammen trollen oder belästigen,non-Englsih
1171,🇳🇴 Vi har nulltoleranse for all slags diskriminerende oppførsel. 🇬🇧 We have zero-tolerance for any discriminating behaviour.,vi har nulltoleranse for all slags diskriminerende oppførsel we have zerotolerance for any discriminating behaviour,non-Englsih
1172,🇳🇴 Poster med sensitive tema/NSFW bør gis gode beskrivende emneknagger eller innholdsvarsling. 🇬🇧 Posts with NSFW/sensitive topics should have good tags or be hid behind a Content Warning (CW).,poster med sensitive temansfw bør gis gode beskrivende emneknagger eller innholdsvarsling posts with nsfwsensitive topics should have good tags or be hid behind a content warning cw,English
1173,🇳🇴 Vi tillater ikke framsnakking av krypto-relatert innhold som NFT-er og kryptovaluta. 🇬🇧 We don't allow promotion of crypto-related content like NFTs and cryptocurrency.,vi tillater ikke framsnakking av kryptorelatert innhold som nfter og kryptovaluta we dont allow promotion of cryptorelated content like nfts and cryptocurrency,non-Englsih
1174,🇳🇴 Ingen reklame eller spam. Sjølpromotering er ok. 🇬🇧 No ads or spam. Self-promoting is ok.,ingen reklame eller spam sjølpromotering er ok no ads or spam selfpromoting is ok,non-Englsih
1175,"Insult o vexació 
Amenaça de violència
Discurs negacionista sobre les matances massives provades
Opressió sobre característiques sexuals
Articles d'organitzacions feixis-tes
Enaltiment de líders històrics feixistes
Propaganda electoral
Proselitisme religiós


 
",insult o vexació amenaça de violència discurs negacionista sobre les matances massives provades opressió sobre característiques sexuals articles dorganitzacions feixistes enaltiment de líders històrics feixistes propaganda electoral proselitisme religiós,non-Englsih
1176,,,Error
1177,,,Error
1178,,,Error
1179,,,Error
1180,,,Error
1181,,,Error
1182,,,Error
1183,,,Error
1184,,,Error
1185,,,Error
1186,,,Error
1187,このサーバーはBOT専用のサーバーです。管理人以外の人間は存在してはいけません。,このサーバーはbot専用のサーバーです管理人以外の人間は存在してはいけません,non-Englsih
1188,過剰な投稿をするアカウント、他の住人や他サーバーの人々に迷惑をかけるアカウント、または明らかに人間であるアカウントは、管理人の判断により予告なく停止される可能性があります。,過剰な投稿をするアカウント他の住人や他サーバーの人々に迷惑をかけるアカウントまたは明らかに人間であるアカウントは管理人の判断により予告なく停止される可能性があります,non-Englsih
1189,"Don't be a jerk. If you're a jerk, I will probably boot you. The appeals process is that you will need to convince me either 1) that you weren't being a jerk, or 2) that you won't be a jerk again. Be forewarned that my patience for such things is short.",dont be a jerk if youre a jerk i will probably boot you the appeals process is that you will need to convince me either 1 that you werent being a jerk or 2 that you wont be a jerk again be forewarned that my patience for such things is short,English
1190,Sei kein Pimmel! (Don't be a dick!),sei kein pimmel dont be a dick,non-Englsih
1191,"There is only one rule here: Wheaton's Law.: Don't Be A Dick.  I reserve the right to moderate, remove, block, etc at my discretion.  As I'm the only user, this should not be a problem.",there is only one rule here wheatons law dont be a dick i reserve the right to moderate remove block etc at my discretion as im the only user this should not be a problem,English
1192,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
1193,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism
",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
1194,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
1195,"No harassment, dogpiling or doxxing of other users
",no harassment dogpiling or doxxing of other users,English
1196,"No content illegal in the United Kingdom
",no content illegal in the united kingdom,English
1197,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English
1198,Civility.,civility,English
1199,Please don't insult anyone in your comments.,please dont insult anyone in your comments,English
1200,Be respectful. Don't make fun of others and don't be condescending.,be respectful dont make fun of others and dont be condescending,English
1201,"Don't discriminate against anyone. Racist, sexist, transphobic, misogynistic, homophobic, antisemitic and any other kind of hate-speech is forbidden on our instance!",dont discriminate against anyone racist sexist transphobic misogynistic homophobic antisemitic and any other kind of hatespeech is forbidden on our instance,English
1202,No excessive advertising. No spamming or aggressive promotion. If you want to promote something do it responsibly with supporting facts and never only links.,no excessive advertising no spamming or aggressive promotion if you want to promote something do it responsibly with supporting facts and never only links,English
1203,"Do not post adult content, including pictures containing nudity, or unwelcome sexual attention.",do not post adult content including pictures containing nudity or unwelcome sexual attention,English
1204,Bots must be marked as Bot in their profile.,bots must be marked as bot in their profile,English
1205,No NFT content. None at all.,no nft content none at all,non-Englsih
1206,No flooding the public timelines.,no flooding the public timelines,English
1207,No illegal content. No false or misleading information. No posting of malicious links.,no illegal content no false or misleading information no posting of malicious links,English
1208,No disinformation regarding public health issues or political/military campaigns.,no disinformation regarding public health issues or politicalmilitary campaigns,English
1209,No anonymous emails. Accounts with anonymous or temporary emails will be deleted.,no anonymous emails accounts with anonymous or temporary emails will be deleted,English
1210,"Puoi iscriverti solo su invito, così l'istanza rimane piccola. Difficilmente verrai invitato. ",puoi iscriverti solo su invito così listanza rimane piccola difficilmente verrai invitato,non-Englsih
1211,Hai a disposizione 20000 caratteri per toot. Cerca di avere anche qualcosa di interessante da dire. Cerca di scrivere in modo decente. Sii poeta!,hai a disposizione 20000 caratteri per toot cerca di avere anche qualcosa di interessante da dire cerca di scrivere in modo decente sii poeta,non-Englsih
1212,"No ai seguenti tipi di pornografia: selfie, unboxing, foto di animali domestici.",no ai seguenti tipi di pornografia selfie unboxing foto di animali domestici,non-Englsih
1213,"Alla sessualità genitale preferiamo quella nomadica. Se proprio ci tieni a farci vedere il cazzo, fallo in modo creativo, assicurati che il materiale sia tuo e usa il CW. ",alla sessualità genitale preferiamo quella nomadica se proprio ci tieni a farci vedere il cazzo fallo in modo creativo assicurati che il materiale sia tuo e usa il cw,non-Englsih
1214,Sì alla contro-pornografia. Leggi il Manifesto Contro-Pornografico. Lo trovi sul nostro sito.,sì alla contropornografia leggi il manifesto contropornografico lo trovi sul nostro sito,non-Englsih
1215,"Se sei fan delle criptovalute, se ti sei formato sugli scritti di Hayek, Nozick, Rothbard (o simili), se non capisci di cosa stiamo parlando, ti suggeriamo l'istanza Twitter.com gestita dal signor Musk. ",se sei fan delle criptovalute se ti sei formato sugli scritti di hayek nozick rothbard o simili se non capisci di cosa stiamo parlando ti suggeriamo listanza twittercom gestita dal signor musk,non-Englsih
1216,"No ai fascismi, soprattutto a quelli molecolari.",no ai fascismi soprattutto a quelli molecolari,non-Englsih
1217,No al body-shaming. Sì al Corpo Senza Organi. ,no al bodyshaming sì al corpo senza organi,non-Englsih
1218,No allo scientismo e alle altre religioni patriarcali. E' tollerata al più quella dell'Antica Grecia. Quelle matriarcali vanno bene.,no allo scientismo e alle altre religioni patriarcali e tollerata al più quella dellantica grecia quelle matriarcali vanno bene,non-Englsih
1219,Seguiamo le teoria secondo cui le bestemmie sono state inventate dalla Chiesa Cattolica per far parlare di Dio anche chi non ci crede.,seguiamo le teoria secondo cui le bestemmie sono state inventate dalla chiesa cattolica per far parlare di dio anche chi non ci crede,non-Englsih
1220,Ti è comunque concesso di inventare una tua religione personale. Ti chiediamo solo di non imporla agli altri. ,ti è comunque concesso di inventare una tua religione personale ti chiediamo solo di non imporla agli altri,non-Englsih
1221,No al razzismo e all'abilismo. No agli -ismi come visioni del mondo pre-confezionate. ,no al razzismo e allabilismo no agli ismi come visioni del mondo preconfezionate,non-Englsih
1222,No alla bifobia. Sì a Bifo Berardi (ciao Franco!). ,no alla bifobia sì a bifo berardi ciao franco,non-Englsih
1223,"Istanza LGBTQIABCDEFGHILMNO+ friendly. Se non ti va bene, schwaffənculo! ",istanza lgbtqiabcdefghilmno friendly se non ti va bene schwaffənculo,non-Englsih
1224,Al machismo e alla virilità preferiamo i plug anali. A Carla Lonzi preferiamo Donna Haraway. A bell hooks preferiamo Gayatri Spivak.,al machismo e alla virilità preferiamo i plug anali a carla lonzi preferiamo donna haraway a bell hooks preferiamo gayatri spivak,non-Englsih
1225,"Se devi condividere la tua depressione, fallo NON sotto forma di comizio/lamentela. Altrimenti non effettueremo il download. ",se devi condividere la tua depressione fallo non sotto forma di comiziolamentela altrimenti non effettueremo il download,non-Englsih
1226,Non usare il tuo account come se fossi un bot. Usalo come se fossi un cyborg. ,non usare il tuo account come se fossi un bot usalo come se fossi un cyborg,non-Englsih
1227,No allo SPAM. Non chiederci cosa sia SPAM e cosa no. Non lo sappiamo. ,no allo spam non chiederci cosa sia spam e cosa no non lo sappiamo,non-Englsih
1228,"Se hai trovato qualche contraddizione nel regolamento, sappi che è stata inserita volutamente. ",se hai trovato qualche contraddizione nel regolamento sappi che è stata inserita volutamente,non-Englsih
1229,"Se qualcosa non ti è chiaro sei invitato a fare domande, non defederazioni. ",se qualcosa non ti è chiaro sei invitato a fare domande non defederazioni,non-Englsih
1230,E' comunque il regolamento di istanza più brillante che tu abbia mai letto. ,e comunque il regolamento di istanza più brillante che tu abbia mai letto,non-Englsih
1231,Don't be a dick.,dont be a dick,English
1232,"Keine Beleidigungen, Drohungen und Verunglimpfungen aller Art

",keine beleidigungen drohungen und verunglimpfungen aller art,non-Englsih
1233,Keine Aufforderungen zu Gewalt,keine aufforderungen zu gewalt,non-Englsih
1234,"Kein radikales Gedankengut, Rassismus und Hasspropaganda",kein radikales gedankengut rassismus und hasspropaganda,non-Englsih
1235,Keine Pornografie und Obszönitäten,keine pornografie und obszönitäten,non-Englsih
1236,Keine Verletzungen von Rechten Dritter,keine verletzungen von rechten dritter,non-Englsih
1237,"Keine Veröffentlichung von Foren-/Blogbeiträgen, privaten Korrespondenzen und privaten Daten",keine veröffentlichung von forenblogbeiträgen privaten korrespondenzen und privaten daten,non-Englsih
1238,Kein Missbrauch der Kommentarfunktion für werbliche Zwecke,kein missbrauch der kommentarfunktion für werbliche zwecke,non-Englsih
1239,Wear sunscreen.,wear sunscreen,non-Englsih
1240,You must be Simon to use this server,you must be simon to use this server,English
1241,"Rule #1 may, on occasion, be bent.",rule 1 may on occasion be bent,English
1242,Server is for the personal use of Justin Yost,server is for the personal use of justin yost,English
1243,"Be nice, and don't be a jerk.",be nice and dont be a jerk,English
1244,"""Descriu una norma o requeriment pels usuaris d'aquest servidor. Intenta fer-la curta i senzilla"".La norma és que no hi ha norma.  ⥀⥁
                                                                               
                                                                                    ",descriu una norma o requeriment pels usuaris daquest servidor intenta ferla curta i senzillala norma és que no hi ha norma,non-Englsih
1245,Profiles only allow cat or red panda pictures,profiles only allow cat or red panda pictures,English
1246,"Posts should be in accordance with the Golden Rule (Matthew 7:12)
",posts should be in accordance with the golden rule matthew 712,English
1247,Posts should show the Fruit of the Spirit (Gal. 5:22-23),posts should show the fruit of the spirit gal 52223,English
1248,"Doxxing, hatred towards people, violence, threats of violence and like things are forbidden by the first two rules. Our conduct should be Christ-like.",doxxing hatred towards people violence threats of violence and like things are forbidden by the first two rules our conduct should be christlike,English
1249,Be good to others.,be good to others,English
1250,"Kein Rassismus, Sexismus, Beschimpfungen.",kein rassismus sexismus beschimpfungen,non-Englsih
1251,"Keine Belästigung (schließt ""Stalking"" und ""Doxxing"" ein).",keine belästigung schließt stalking und doxxing ein,non-Englsih
1252,Keine Diskriminierung von Geschlechtern und sexuellen Minderheiten oder deren Befürwortung.,keine diskriminierung von geschlechtern und sexuellen minderheiten oder deren befürwortung,non-Englsih
1253,"Keine Nationalistische Propaganda, Nazi-Symbolismus oder Förderung der Ideologie des Nationalsozialismus.",keine nationalistische propaganda nazisymbolismus oder förderung der ideologie des nationalsozialismus,non-Englsih
1254,Keine Werbung.,keine werbung,non-Englsih
1255,Kein (intensives) Boting.,kein intensives boting,non-Englsih
1256,"Chovejte se k sobě slušně, nevulgárně, neagresivně",chovejte se k sobě slušně nevulgárně neagresivně,non-Englsih
1257,"Respektujte názory, postoje i chování ostatních, pokud neporušují tato pravidla.",respektujte názory postoje i chování ostatních pokud neporušují tato pravidla,non-Englsih
1258,"Diskuze s argumenty je lepší, než emotivní výkřiky za vlastní pravdu. Uznat cizí pravdu není důkaz slabosti",diskuze s argumenty je lepší než emotivní výkřiky za vlastní pravdu uznat cizí pravdu není důkaz slabosti,non-Englsih
1259,Dont Panic !,dont panic,non-Englsih
1260,외부인의 서버 가입 신청을 금지합니다.,외부인의 서버 가입 신청을 금지합니다,non-Englsih
